year,state,state_po,state_fips,state_ic,office,candidate,party_detailed,party_simplified,writein,mode,votes,totalvotes,stage,special,unofficial,version
2024,NEBRASKA,NE,31,35,US SENATE,DAN OSBORN,BY PETITION,OTHER,FALSE,TOTAL,436493,938336,GEN,FALSE,FALSE,11/20/25
2024,NEBRASKA,NE,31,35,US SENATE,WRITE-IN,,OTHER,TRUE,TOTAL,2719,938336,GEN,FALSE,FALSE,11/20/25
2024,NEW JERSEY,NJ,34,12,US SENATE,ANDY KIM,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,2161491,4031795,GEN,FALSE,FALSE,11/20/25
2024,NEW JERSEY,NJ,34,12,US SENATE,CURTIS BASHAW,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,1773589,4031795,GEN,FALSE,FALSE,11/20/25
2024,NEW JERSEY,NJ,34,12,US SENATE,CHRISTINA KHALIL,GREEN,OTHER,FALSE,TOTAL,45443,4031795,GEN,FALSE,FALSE,11/20/25
2024,NEW JERSEY,NJ,34,12,US SENATE,KENNETH R. KAPLAN,LIBERTARIAN,LIBERTARIAN,FALSE,TOTAL,24242,4031795,GEN,FALSE,FALSE,11/20/25
2024,NEW JERSEY,NJ,34,12,US SENATE,PATRICIA G. MOONEYHAM,VOTE BETTER,OTHER,FALSE,TOTAL,17224,4031795,GEN,FALSE,FALSE,11/20/25
2024,NEW JERSEY,NJ,34,12,US SENATE,JOANNE KUNIANSKY,SOCIALIST WORKERS PARTY,OTHER,FALSE,TOTAL,9806,4031795,GEN,FALSE,FALSE,11/20/25
2024,NEW MEXICO,NM,35,66,US SENATE,MARTIN HEINRICH,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,497333,903311,GEN,FALSE,FALSE,11/20/25
2024,NEW MEXICO,NM,35,66,US SENATE,NELLA LOUISE DOMENICI,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,405978,903311,GEN,FALSE,FALSE,11/20/25
2024,NEVADA,NV,32,65,US SENATE,SAM BROWN,,REPUBLICAN,FALSE,TOTAL,677046,1464728,GEN,FALSE,FALSE,11/20/25
2024,NEVADA,NV,32,65,US SENATE,CHRIS CUNNINGHAM,,LIBERTARIAN,FALSE,TOTAL,20881,1464728,GEN,FALSE,FALSE,11/20/25
2024,NEVADA,NV,32,65,US SENATE,JANINE HANSEN,,OTHER,FALSE,TOTAL,21316,1464728,GEN,FALSE,FALSE,11/20/25
2024,NEVADA,NV,32,65,US SENATE,JACKY S. ROSEN,,DEMOCRAT,FALSE,TOTAL,701105,1464728,GEN,FALSE,FALSE,11/20/25
2024,NEVADA,NV,32,65,US SENATE,NONE OF THESE CANDIDATES,,OTHER,FALSE,TOTAL,44380,1464728,GEN,FALSE,FALSE,11/20/25
2024,NEW YORK,NY,36,13,US SENATE,DIANE SARE,LAROUCHE,OTHER,FALSE,TOTAL,39421,8381397,GEN,FALSE,FALSE,11/20/25
2024,NEW YORK,NY,36,13,US SENATE,KIRSTEN E. GILLIBRAND,DEMOCRATIC/WORKING FAMILIES,DEMOCRAT,FALSE,TOTAL,4711669,8381397,GEN,FALSE,FALSE,11/20/25
2024,NEW YORK,NY,36,13,US SENATE,MICHAEL D. SAPRAICONE,REPUBLICAN/CONSERVATIVE,REPUBLICAN,FALSE,TOTAL,3246690,8381397,GEN,FALSE,FALSE,11/20/25
2024,NEW YORK,NY,36,13,US SENATE,SCATTERING,,OTHER,TRUE,TOTAL,13490,8381397,GEN,FALSE,FALSE,11/20/25
2024,NEW YORK,NY,36,13,US SENATE,UNDERVOTES,,OTHER,FALSE,TOTAL,365232,8381397,GEN,FALSE,FALSE,11/20/25
2024,NEW YORK,NY,36,13,US SENATE,VOID,,OTHER,FALSE,TOTAL,4895,8381397,GEN,FALSE,FALSE,11/20/25
2024,OHIO,OH,39,24,US SENATE,SHERROD BROWN,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,2650949,5704620,GEN,FALSE,FALSE,11/20/25
2024,OHIO,OH,39,24,US SENATE,STEPHEN FARIS,WRITE-IN,OTHER,TRUE,TOTAL,84,5704620,GEN,FALSE,FALSE,11/20/25
2024,OHIO,OH,39,24,US SENATE,DON KISSICK,LIBERTARIAN,LIBERTARIAN,FALSE,TOTAL,195648,5704620,GEN,FALSE,FALSE,11/20/25
2024,OHIO,OH,39,24,US SENATE,BERNIE MORENO,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,2857383,5704620,GEN,FALSE,FALSE,11/20/25
2024,OHIO,OH,39,24,US SENATE,DAVID ALLEN PASTORIUS,WRITE-IN,OTHER,TRUE,TOTAL,13,5704620,GEN,FALSE,FALSE,11/20/25
2024,OHIO,OH,39,24,US SENATE,NATHAN RUSSELL,WRITE-IN,OTHER,TRUE,TOTAL,19,5704620,GEN,FALSE,FALSE,11/20/25
2024,OHIO,OH,39,24,US SENATE,TARIQ K. SHABAZZ,WRITE-IN,OTHER,TRUE,TOTAL,524,5704620,GEN,FALSE,FALSE,11/20/25
2024,PENNSYLVANIA,PA,42,14,US SENATE,ROBERT P CASEY JR,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,3384180,6963137,GEN,FALSE,FALSE,11/20/25
2024,PENNSYLVANIA,PA,42,14,US SENATE,DAVE MCCORMICK,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,3399295,6963137,GEN,FALSE,FALSE,11/20/25
2024,PENNSYLVANIA,PA,42,14,US SENATE,JOHN C THOMAS,LIBERTARIAN,LIBERTARIAN,FALSE,TOTAL,89653,6963137,GEN,FALSE,FALSE,11/20/25
2024,PENNSYLVANIA,PA,42,14,US SENATE,LEILA HAZOU,GREEN,OTHER,FALSE,TOTAL,66388,6963137,GEN,FALSE,FALSE,11/20/25
2024,PENNSYLVANIA,PA,42,14,US SENATE,MARTY SELKER,CONSTITUTION,OTHER,FALSE,TOTAL,23621,6963137,GEN,FALSE,FALSE,11/20/25
2024,RHODE ISLAND,RI,44,05,US SENATE,SHELDON WHITEHOUSE,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,294665,491948,GEN,FALSE,FALSE,11/20/25
2024,RHODE ISLAND,RI,44,05,US SENATE,PATRICIA MORGAN,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,196039,491948,GEN,FALSE,FALSE,11/20/25
2024,RHODE ISLAND,RI,44,05,US SENATE,WRITE-IN,,OTHER,TRUE,TOTAL,1244,491948,GEN,FALSE,FALSE,11/20/25
2024,TENNESSEE,TN,47,54,US SENATE,MARSHA BLACKBURN,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,1918743,3007608,GEN,FALSE,FALSE,11/20/25
2024,TENNESSEE,TN,47,54,US SENATE,GLORIA JOHNSON,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,1027461,3007608,GEN,FALSE,FALSE,11/20/25
2024,TENNESSEE,TN,47,54,US SENATE,THARON CHANDLER,INDEPENDENT,OTHER,FALSE,TOTAL,28444,3007608,GEN,FALSE,FALSE,11/20/25
2024,TENNESSEE,TN,47,54,US SENATE,"PAMELA JEANINE ""P."" MOSES",INDEPENDENT,OTHER,FALSE,TOTAL,24682,3007608,GEN,FALSE,FALSE,11/20/25
2024,TENNESSEE,TN,47,54,US SENATE,HASTINA ROBINSON,INDEPENDENT,OTHER,FALSE,TOTAL,8278,3007608,GEN,FALSE,FALSE,11/20/25
2024,TEXAS,TX,48,49,US SENATE,TED CRUZ,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,5990741,11291854,GEN,FALSE,FALSE,11/20/25
2024,TEXAS,TX,48,49,US SENATE,COLIN ALLRED,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,5031249,11291854,GEN,FALSE,FALSE,11/20/25
2024,TEXAS,TX,48,49,US SENATE,TED BROWN,LIBERTARIAN,LIBERTARIAN,FALSE,TOTAL,267039,11291854,GEN,FALSE,FALSE,11/20/25
2024,TEXAS,TX,48,49,US SENATE,TRACY ANDRUS,WRITE-IN,OTHER,TRUE,TOTAL,919,11291854,GEN,FALSE,FALSE,11/20/25
2024,TEXAS,TX,48,49,US SENATE,ANALISA ROCHE,WRITE-IN,OTHER,TRUE,TOTAL,1906,11291854,GEN,FALSE,FALSE,11/20/25
2024,UTAH,UT,49,67,US SENATE,CARLTON E. BOWEN,INDEPENDENT AMERICAN,OTHER,FALSE,TOTAL,83972,1463509,GEN,FALSE,FALSE,11/20/25
2024,UTAH,UT,49,67,US SENATE,JOHN CURTIS,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,914700,1463509,GEN,FALSE,FALSE,11/20/25
2024,UTAH,UT,49,67,US SENATE,CAROLINE GLEICH,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,464515,1463509,GEN,FALSE,FALSE,11/20/25
2024,UTAH,UT,49,67,US SENATE,LAIRD FETZER HAMBLIN,UNAFFILIATED,OTHER,TRUE,TOTAL,322,1463509,GEN,FALSE,FALSE,11/20/25
2024,VIRGINIA,VA,51,40,US SENATE,HUNG CAO,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,2019911,4445535,GEN,FALSE,FALSE,11/20/25
2024,VIRGINIA,VA,51,40,US SENATE,TIMOTHY M. KAINE,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,2417115,4445535,GEN,FALSE,FALSE,11/20/25
2024,VIRGINIA,VA,51,40,US SENATE,WRITE-IN,,OTHER,TRUE,TOTAL,8509,4445535,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,BERNIE SANDERS,INDEPENDENT,OTHER,FALSE,TOTAL,229429,372885,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,GERALD MALLOY,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,116512,372885,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,STEVE BERRY,INDEPENDENT,OTHER,FALSE,TOTAL,7941,372885,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,MATT HILL,LIBERTARIAN,LIBERTARIAN,FALSE,TOTAL,4530,372885,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,JUSTIN SCHOVILLE,PEACE AND JUSTICE,OTHER,FALSE,TOTAL,3339,372885,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,MARK STEWART GREENSTEIN,EPIC,OTHER,FALSE,TOTAL,1104,372885,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,WRITE-IN,,OTHER,TRUE,TOTAL,398,372885,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,UNDERVOTES,,OTHER,FALSE,TOTAL,9336,372885,GEN,FALSE,FALSE,11/20/25
2024,VERMONT,VT,50,06,US SENATE,SPOILED,,OTHER,FALSE,TOTAL,296,372885,GEN,FALSE,FALSE,11/20/25
2024,WASHINGTON,WA,53,73,US SENATE,MARIA CANTWELL,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,2252577,3812391,GEN,FALSE,TRUE,11/20/25
2024,WASHINGTON,WA,53,73,US SENATE,DR RAUL GARCIA,GOP,REPUBLICAN,FALSE,TOTAL,1549187,3812391,GEN,FALSE,TRUE,11/20/25
2024,WASHINGTON,WA,53,73,US SENATE,WRITE-IN,,OTHER,TRUE,TOTAL,10627,3812391,GEN,FALSE,TRUE,11/20/25
2024,WISCONSIN,WI,55,25,US SENATE,TAMMY BALDWIN,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,1672777,3390787,GEN,FALSE,FALSE,11/20/25
2024,WISCONSIN,WI,55,25,US SENATE,ERIC HOVDE,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,1643996,3390787,GEN,FALSE,FALSE,11/20/25
2024,WISCONSIN,WI,55,25,US SENATE,PHIL ANDERSON,INDEPENDENT,OTHER,FALSE,TOTAL,42315,3390787,GEN,FALSE,FALSE,11/20/25
2024,WISCONSIN,WI,55,25,US SENATE,THOMAS LEAGER,INDEPENDENT,OTHER,FALSE,TOTAL,28751,3390787,GEN,FALSE,FALSE,11/20/25
2024,WISCONSIN,WI,55,25,US SENATE,JOHN SCHIESS,WRITE-IN,OTHER,TRUE,TOTAL,26,3390787,GEN,FALSE,FALSE,11/20/25
2024,WISCONSIN,WI,55,25,US SENATE,WRITE-IN,,OTHER,TRUE,TOTAL,2922,3390787,GEN,FALSE,FALSE,11/20/25
2024,WEST VIRGINIA,WV,54,56,US SENATE,JIM JUSTICE,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,514079,747717,GEN,FALSE,FALSE,11/20/25
2024,WEST VIRGINIA,WV,54,56,US SENATE,GLENN ELLIOTT,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,207548,747717,GEN,FALSE,FALSE,11/20/25
2024,WEST VIRGINIA,WV,54,56,US SENATE,DAVID MORAN,LIBERTARIAN,LIBERTARIAN,FALSE,TOTAL,26075,747717,GEN,FALSE,FALSE,11/20/25
2024,WEST VIRGINIA,WV,54,56,US SENATE,JOSHUA STANDRIDGE,,OTHER,TRUE,TOTAL,2,747717,GEN,FALSE,FALSE,11/20/25
2024,WEST VIRGINIA,WV,54,56,US SENATE,LEWIE ANDREWS,,OTHER,TRUE,TOTAL,6,747717,GEN,FALSE,FALSE,11/20/25
2024,WEST VIRGINIA,WV,54,56,US SENATE,TIM STEVENSKI,,OTHER,TRUE,TOTAL,7,747717,GEN,FALSE,FALSE,11/20/25
2024,WYOMING,WY,56,68,US SENATE,JOHN BARRASSO,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,198418,271123,GEN,FALSE,FALSE,11/20/25
2024,WYOMING,WY,56,68,US SENATE,SCOTT D MORROW,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,63727,271123,GEN,FALSE,FALSE,11/20/25
2024,WYOMING,WY,56,68,US SENATE,WRITE-IN,,OTHER,TRUE,TOTAL,2017,271123,GEN,FALSE,FALSE,11/20/25
2024,WYOMING,WY,56,68,US SENATE,OVERVOTES,,OTHER,FALSE,TOTAL,101,271123,GEN,FALSE,FALSE,11/20/25
2024,WYOMING,WY,56,68,US SENATE,UNDERVOTES,,OTHER,FALSE,TOTAL,6860,271123,GEN,FALSE,FALSE,11/20/25